Step,R freq,R note,G freq,G note,B freq,B note,Duration,Amplitude?
1,82.4,E,123.5,B,207.7,G#,10,
2,87.3,F,146.8,D2,233.1,Bb,7,
3,98,G,146.8,D2,246.9,B,10,
4,87.3,F,146.8,D2,233.1,Bb,4,
5,82.4,E,123.5,B,207.7,G#,8,
6,0,,0,,0,,8,
7,82.4,E,123.5,B,207.7,G#,10,
8,92.5,F#,138.6,C#,220,A,7,
9,110,A,174.6,F,261.6,C,10,
10,130.8,C,185,F#,329.6,E,4,
11,123.5,B,220,A,311.1,Eb,8,
12,110,A,164.8,E,277.2,C#,15,
13,92.5,F#,130.8,C#,220,A,15,
14,77.8,D#,116.5,A#,196,F##,4,
15,82.4,E,123.5,B,207.7,G#,5,
16,69.3,C#,103.8,G#,174.6,E#,4,
17,77.8,D#,116.5,A#,196,F##,5,
18,82.4,E,123.5,B,207.7,G#,4,
19,110,A,164.8,E,185,F#,4,
20,130.8,C,155.6,D#,220,A,2,
21,138.6,C#,164.8,E,233.1,A#,2,
22,146.8,D nat,174.6,F nat,246.9,B,2,
23,155.6,D#,185,F#,261.6,C,4,
24,164.8,E,196,G nat,277.2,C#,2,
25,174.6,E#,207.7,G#,293.7,D nat,9,
26,185,F#,207.7,G#,311.1,D#,5,
27,92.5,F#,164.8,E,261.6,C nat,7,
28,92.5,F#,164.8,E,233.1,A#,17,
29,123.5,B,155.6,D#,207.7,G#,4,
30,130.8,C,174.6,E#,220,A,4,
31,155.6,D#,185,F#,246.9,B,4,
32,185,F#,220,A,293.7,D nat,4,
33,220,A,261.6,C nat,370,F#,4,
34,246.9,B,349.2,F nat,440,A,4,
